study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA236110	SAMN02594671	SRS541033	SRX445905	SRR1138757	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138757/SRR1138757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138757/SRR1138757_2.fastq.gz
PRJNA236110	SAMN02594671	SRS541033	SRX445905	SRR1138758	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138758/SRR1138758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138758/SRR1138758_2.fastq.gz
PRJNA236110	SAMN02594687	SRS541034	SRX445906	SRR1138759	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138759/SRR1138759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138759/SRR1138759_2.fastq.gz
PRJNA236110	SAMN02594687	SRS541034	SRX445906	SRR1138760	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138760/SRR1138760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138760/SRR1138760_2.fastq.gz
PRJNA236110	SAMN02594783	SRS541035	SRX445907	SRR1138761	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138761/SRR1138761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138761/SRR1138761_2.fastq.gz
PRJNA236110	SAMN02594766	SRS541036	SRX445908	SRR1138762	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138762/SRR1138762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138762/SRR1138762_2.fastq.gz
PRJNA236110	SAMN02594791	SRS541038	SRX445909	SRR1138764	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138764/SRR1138764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138764/SRR1138764_2.fastq.gz
PRJNA236110	SAMN02594791	SRS541038	SRX445909	SRR1138765	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138765/SRR1138765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138765/SRR1138765_2.fastq.gz
PRJNA236110	SAMN02594786	SRS541037	SRX445910	SRR1138766	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138766/SRR1138766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138766/SRR1138766_2.fastq.gz
PRJNA236110	SAMN02594786	SRS541037	SRX445910	SRR1138767	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138767/SRR1138767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138767/SRR1138767_2.fastq.gz
