Accessionid	FLC_meth_status	Latitude	Longitude
6413	gbm	56.06	13.97
9405	gbm	55.75	13.4
6969	gbm	60	23.5
2202	gbm	43.76	-86.39
6073	gbm	56.15	15.82
9888	gbm	40.93	-3.31
9730	gbm	48.47	18.94
7181	gbm	50.93	11.59
9898	gbm	41.14	-3.58
7126	gbm	60.2	24.57
5349	gbm	51.1	0.4
9091	gbm	38.95	48.93
8351	gbm	60.25	18.37
9819	gbm	42.35	-3.03
6109	gbm	55.79	13.12
9849	gbm	40.65	-4.11
10013	gbm	38.74	48.61
9592	gbm	42.1	-5.44
992	gbm	55.38	14.05
4958	gbm	50.5	-4.5
6134	gbm	55.84	13.29
9114	gbm	41.83	46.28
6086	gbm	58.9	11.2
9085	gbm	38.78	48.55
9545	gbm	39.4	-5.78
1954	gbm	43.52	-86.17
6173	gbm	62.87	18.34
9625	gbm	51.31	82.59
9867	gbm	40.94	-3.22
6150	gbm	55.93	13.53
9587	gbm	41.5	-1.88
9121	gbm	41.79	43.48
9901	gbm	42.27	-2.98
9421	gbm	55.97	14.4
8230	gbm	56.68	16.5
9452	gbm	57.25	18.21
6140	gbm	55.94	13.55
9567	gbm	42.34	1.3
6102	gbm	55.6	13.2
6184	gbm	62.89	18.45
9720	gbm	41.77	25.68
8376	gbm	62.69	18
6017	gbm	62.9	18.4
9078	gbm	38.74	48.61
9554	gbm	38.86	-3.16
6177	gbm	62.63	17.69
6148	gbm	55.93	13.55
9553	gbm	41.58	-4.71
1254	gbm	59.43	17.02
9576	gbm	40.86	-4.11
9549	gbm	42.23	-3.69
991	gbm	55.38	14.05
9542	gbm	40.79	-4.05
6142	gbm	55.94	13.56
9607	gbm	53.05	52.15
9386	gbm	62.81	18.19
9722	gbm	41.71	24.41
6244	gbm	62.92	18.47
6100	gbm	55.6	13.2
7354	gbm	56.5	14.9
9532	gbm	42.23	-4.64
9903	gbm	42.31	-3.1
9593	gbm	42.26	-2.99
6237	gbm	62.96	18.35
9568	gbm	42.76	-0.23
9945	gbm	41.8	-3.12
9973	gbm	46.37	11.28
6221	gbm	62.81	18.19
9902	gbm	40.71	-3.24
6076	gbm	55.69	13.45
9394	gbm	56.58	16.41
9382	gbm	55.81	14.21
9616	gbm	53.06	51.96
9870	gbm	41.91	0.17
6145	gbm	55.95	13.55
9988	gbm	41.79	43.48
6011	gbm	62.88	18.18
9095	gbm	38.98	48.56
6099	gbm	55.66	13.24
9451	gbm	57.25	18.21
6172	gbm	62.87	18.34
9084	gbm	38.78	48.55
9839	gbm	40.44	-4.27
9878	gbm	40.78	-3.62
6024	gbm	55.75	13.37
6153	gbm	62.64	17.74
7516	gbm	55.58	14.33
6046	gbm	62.8	18.08
6220	gbm	62.81	18.19
6241	gbm	62.96	18.36
9871	gbm	40.75	-3.99
9885	gbm	41.14	-3.68
9409	gbm	56.06	14.3
6070	gbm	62.93	18.34
9993	gbm	38.64	42.24
9846	gbm	42.31	-3.02
6203	gbm	55.77	14.12
9840	gbm	41.13	-1.43
9520	gbm	41.7	-3.68
9481	gbm	55.42	13.85
9716	gbm	41.54	24.98
9530	gbm	38.25	-4.32
9551	gbm	42.28	-5.92
9058	gbm	57.75	16.63
9858	gbm	40.98	-3.8
9577	gbm	42.34	2.17
6238	gbm	62.96	18.35
9947	gbm	40.74	-3.9
6012	gbm	62.88	18.18
6258	gbm	55.58	14.33
6217	gbm	63.02	18.33
6085	gbm	55.71	13.21
6202	gbm	55.77	14.12
6088	gbm	56.47	16.13
6174	gbm	62.87	18.34
9836	gbm	41.25	-1.32
6268	gbm	55.58	14.33
6030	gbm	62.81	18.19
9332	gbm	62.87	18.38
6064	gbm	62.95	18.28
9067	gbm	38.65	48.8
6043	gbm	62.8	18.08
6284	gbm	55.58	14.33
10014	gbm	38.65	48.8
9550	gbm	43.05	-5.37
9353	gbm	57.26	16.37
9352	gbm	57.26	16.37
6131	gbm	55.84	13.32
9388	gbm	62.81	18.19
9433	gbm	62.95	18.28
6218	gbm	63.02	18.33
6069	gbm	62.95	18.28
6071	gbm	62.93	18.34
9321	gbm	62.86	18.34
9636	gbm	51.75	80.82
9824	gbm	42.91	-4.91
6276	gbm	55.58	14.33
9851	gbm	42.96	-6.1
